CLASS,DATE,START_TIME,END_TIME,COLOR,ACTIVITY
ISP,1/22/2024,,,,Vocabulary Web - Week 2
ISP,1/22/2024,,,,Packet - Week 1
ISP,1/22/2024,,,,Vocabulary Hunt - Week 2
ISP,1/22/2024,,,,Packet - Week 2
ISP,1/22/2024,,,,Vocabulary Web - Week 1
ACI 2+,1/22/2024,,,,SR Test
ACI 2+,1/22/2024,,,,Newspaper Article
ACI 2+,1/22/2024,,,,Break
ACI 2+,1/22/2024,,,,Vocab. Assessment
ACI 4+,1/22/2024,,,,Unit Book Assessment
ACI 4+,1/22/2024,,,,Writing / Project
ACI 4+,1/22/2024,,,,Break
ACI 4+,1/22/2024,,,,Writing / Project
